"","Year","Region","Export_Total"
"200",1998,"World",NA
"201",1999,"Asia",NA
"202",1999,"Africa",NA
"203",1999,"Pacific",NA
"204",1999,"Middle East",NA
"205",1999,"World",NA
"206",2000,"Asia",NA
"207",2000,"Africa",NA
"208",2000,"Pacific",NA
"209",2000,"Middle East",NA
"210",2000,"World",NA
"211",2001,"Asia",NA
"212",2001,"Africa",NA
"213",2001,"Pacific",NA
"214",2001,"Middle East",NA
"215",2001,"World",NA
"216",2002,"Asia",NA
"217",2002,"Africa",NA
"218",2002,"Pacific",NA
"219",2002,"Middle East",NA
"220",2002,"World",NA
"221",2003,"Asia",NA
"222",2003,"Africa",NA
"223",2003,"Pacific",NA
"224",2003,"Middle East",NA
"225",2003,"World",NA
"226",2004,"Asia",NA
"227",2004,"Africa",NA
"228",2004,"Pacific",NA
"229",2004,"Middle East",NA
"230",2004,"World",NA
"231",2005,"Asia",NA
"232",2005,"Africa",NA
"233",2005,"Pacific",NA
"234",2005,"Middle East",NA
"235",2005,"World",NA
"236",2006,"Asia",NA
"237",2006,"Africa",NA
"238",2006,"Pacific",NA
"239",2006,"Middle East",NA
"240",2006,"World",NA
"241",2007,"Asia",NA
"242",2007,"Africa",NA
"243",2007,"Pacific",NA
"244",2007,"Middle East",NA
"245",2007,"World",NA
"246",2008,"Asia",NA
"247",2008,"Africa",NA
"248",2008,"Pacific",NA
"249",2008,"Middle East",NA
"250",2008,"World",NA
"251",2009,"Asia",NA
"252",2009,"Africa",NA
"253",2009,"Pacific",NA
"254",2009,"Middle East",NA
"255",2009,"World",NA
"256",2010,"Asia",NA
"257",2010,"Africa",NA
"258",2010,"Pacific",NA
"259",2010,"Middle East",NA
"260",2010,"World",NA
"261",2011,"Asia",NA
"262",2011,"Africa",NA
"263",2011,"Pacific",NA
"264",2011,"Middle East",NA
"265",2011,"World",NA
"266",2012,"Asia",NA
"267",2012,"Africa",NA
"268",2012,"Pacific",NA
"269",2012,"Middle East",NA
"270",2012,"World",NA
"271",2013,"Asia",NA
"272",2013,"Africa",NA
"273",2013,"Pacific",NA
"274",2013,"Middle East",NA
"275",2013,"World",NA
"276",2014,"Asia",NA
"277",2014,"Africa",NA
"278",2014,"Pacific",NA
"279",2014,"Middle East",NA
"280",2014,"World",NA
"281",2015,"Asia",NA
"282",2015,"Africa",NA
"283",2015,"Pacific",NA
"284",2015,"Middle East",NA
"285",2015,"World",NA
"286",2016,"Asia",NA
"287",2016,"Africa",NA
"288",2016,"Pacific",NA
"289",2016,"Middle East",NA
"290",2016,"World",NA
"291",2017,"Asia",NA
"292",2017,"Africa",NA
"293",2017,"Pacific",NA
"294",2017,"Middle East",NA
"295",2017,"World",NA
"296",2018,"Asia",NA
"297",2018,"Africa",NA
"298",2018,"Pacific",NA
"299",2018,"Middle East",NA
"300",2018,"World",NA
"301",2019,"Asia",NA
"302",2019,"Africa",NA
"303",2019,"Pacific",NA
"304",2019,"Middle East",NA
"305",2019,"World",NA
"306",2020,"Asia",NA
"307",2020,"Africa",NA
"308",2020,"Pacific",NA
"309",2020,"Middle East",NA
"310",2020,"World",NA
"311",1990,"Asia",NA
"312",1990,"Africa",NA
"313",1990,"Pacific",NA
"314",1990,"Middle East",NA
"315",1990,"World",NA
"316",1991,"Asia",NA
"317",1991,"Africa",NA
"318",1991,"Pacific",NA
"319",1991,"Middle East",NA
"320",1991,"World",NA
"321",1992,"Asia",NA
"322",1992,"Africa",NA
"323",1992,"Pacific",NA
"324",1992,"Middle East",NA
"325",1992,"World",NA
"326",1993,"Asia",NA
"327",1993,"Africa",NA
"328",1993,"Pacific",NA
"329",1993,"Middle East",NA
"330",1993,"World",NA
"331",1994,"Asia",NA
"332",1994,"Africa",NA
"333",1994,"Pacific",NA
"334",1994,"Middle East",NA
"335",1994,"World",NA
"336",1995,"Asia",NA
"337",1995,"Africa",NA
"338",1995,"Pacific",NA
"339",1995,"Middle East",NA
"340",1995,"World",NA
"341",1996,"Asia",NA
"342",1996,"Africa",NA
"343",1996,"Pacific",NA
"344",1996,"Middle East",NA
"345",1996,"World",NA
"346",1997,"Asia",NA
"347",1997,"Africa",NA
"348",1997,"Pacific",NA
"349",1997,"Middle East",NA
"350",1997,"World",NA
"351",1998,"Asia",NA
"352",1998,"Africa",NA
"353",1998,"Pacific",NA
"354",1998,"Middle East",NA
"355",1998,"World",NA
"356",1999,"Asia",NA
"357",1999,"Africa",NA
"358",1999,"Pacific",NA
"359",1999,"Middle East",NA
"360",1999,"World",NA
"361",2000,"Asia",NA
"362",2000,"Africa",NA
"363",2000,"Pacific",NA
"364",2000,"Middle East",NA
"365",2000,"World",NA
"366",2001,"Asia",NA
"367",2001,"Africa",NA
"368",2001,"Pacific",NA
"369",2001,"Middle East",NA
"370",2001,"World",NA
"371",2002,"Asia",NA
"372",2002,"Africa",NA
"373",2002,"Pacific",NA
"374",2002,"Middle East",NA
"375",2002,"World",NA
"376",2003,"Asia",NA
"377",2003,"Africa",NA
"378",2003,"Pacific",NA
"379",2003,"Middle East",NA
"380",2003,"World",NA
"381",2004,"Asia",NA
"382",2004,"Africa",NA
"383",2004,"Pacific",NA
"384",2004,"Middle East",NA
"385",2004,"World",NA
"386",2005,"Asia",NA
"387",2005,"Africa",NA
